Player,Pos,Team,Total Value,APY,TotalGuaranteed,AVGGuranteeYear, %Guaranteed,,23624.82895,456 IN LOWER CLASS,,23.218,,,,
Ja'Quan McMillian,CB,Broncos,2370000,790000,0,0,0,,,,,,,,,
Brandon Bouyer-Randle,EDGE,Browns,795000,795000,0,0,0,,,,,,,,,
Brandon Joseph,S,Lions,795000,795000,0,0,0,,375956.5531,1308 in middle class,,68,,,,
Cam Lampkin,CB,Rams,795000,795000,0,0,0,,0.284226919,,,,,,,
Charles Snowden,EDGE,Raiders,795000,795000,0,0,0,,,,,,,,,
Connor Galvin,LT,Lions,795000,795000,0,0,0,,6043914.409,616 in upper class,,,,,,
David Bada,IDL,Lions,795000,795000,0,0,0,,0.61396748,,,,,,,
David Perales,EDGE,Steelers,795000,795000,0,0,0,,,,,,,,,
Demontrey Jacobs,RT,Patriots,795000,795000,0,0,0,,,,,,,,,
Devon Key,S,Broncos,795000,795000,0,0,0,,0.029896552,,1055000,,,,,
Dondrea Tillman,EDGE,Broncos,795000,795000,0,0,0,,0.036892265,723,"1,125,000",36%,,,,
Douglas Coleman III,S,Bears,795000,795000,0,0,0,,0.047509069,826,1210000,,,,,
Dylan McMahon,C,Rams,795000,795000,0,0,0,,0.020716113,,985000,,,,,
Dyontae Johnson,LB,Giants,795000,795000,0,0,0,,,,,,,,,
Grant DuBose,WR,Dolphins,795000,795000,0,0,0,,0.283966667,percent guranteed from 23% to 68%,,,,,1514153.862,AVERAGEAPY FROM 1021000 TO 300000
Isaiah Bolden,CB,Patriots,795000,795000,0,0,0,,0.321713918,PERCENT GURANTEED 1055000-3000000 ,,,,,1589798.412,
JaQuae Jackson,WR,Patriots,795000,795000,0,0,0,,0.380189873,PERCENT GURANTEED 1125000-3000000,,,,,1701172.011,
Jalen Redmond,IDL,Vikings,795000,795000,0,0,0,,0.430434783,PERCENT GURANTEED FRM 1210000-3000000,,,,,1803369.69,
Jaxson Kirkland,RG,Bengals,795000,795000,0,0,0,,0.268279793,percent guranteed from 985k-3000000,,,,,1479348.839,
Jordan Jackson,IDL,Broncos,795000,795000,0,0,0,,,,,,,,,
Josh Onujiogu,EDGE,Seahawks,795000,795000,0,0,0,,,,,,,,927685,1021000
Kadeem Telfort,LT,Packers,795000,795000,0,0,0,,,1946161.564,average Apy for 1125000 to 40000000,,,,951933,1055000
Keidron Smith,CB,Broncos,795000,795000,0,0,0,,,0.413170135,Avg percent guranteed for 1125000 - 40000,,,,981677,1125000
LJ Davis,CB,Packers,795000,795000,0,0,0,,,804095.8355,,,,,1006018,1210000
Marcus Simms,WR,Seahawks,795000,795000,0,0,0,,,,,,,,916018,985000
Matt Araiza,P,Chiefs,795000,795000,0,0,0,,,2147544.389,average apy middle class to 50000000,,,,,
Michael Niese,LG,Lions,795000,795000,0,0,0,,,0.433145434,Average PERCENT GURANTEED 5000000,,,,,
Owen Wright,RB,Ravens,795000,795000,0,0,0,,,930199.0465,,,,,,
Robert Burns,FB,Falcons,795000,795000,0,0,0,,,,,,,,,
Ryan Coll,LT,Colts,795000,795000,0,0,0,,,,,,,,,
Ryan Rehkow,P,Bengals,795000,795000,0,0,0,,,,,,,,,
Sam Hartman,QB,Commanders,795000,795000,0,0,0,,,,,,,,,
Thomas Odukoya,TE,Titans,795000,795000,0,0,0,,,,,,,,,
Tyler Badie,RB,Broncos,795000,795000,0,0,0,,,,,,,,,
Tyreik McAllister,WR,Raiders,795000,795000,0,0,0,,,,,,,,,
Winston Reid,LB,Browns,795000,795000,0,0,0,,,,,,,,,
Andrew Rupcich,RT,Titans,1665000,832500,0,0,0,,,,,,,,,
Ben VanSumeren,LB,Eagles,1665000,832500,0,0,0,,,,,,,,,
Bo Melton,WR,Packers,1665000,832500,0,0,0,,,,,,,,,
Cameron Goode,EDGE,Dolphins,1665000,832500,0,0,0,,,,,,,,,
Chance Campbell,LB,Titans,1665000,832500,0,0,0,,,,,,,,,
Darius Rush,CB,Steelers,1665000,832500,0,0,0,,,,,,,,,
Irvin Charles,WR,Jets,1665000,832500,0,0,0,,,,,,,,,
Jeremiah Pharms,IDL,Patriots,1665000,832500,0,0,0,,,,,,,,,
John Ojukwu,RT,Titans,1665000,832500,0,0,0,,,,,,,,,
Juanyeh Thomas,S,Cowboys,1665000,832500,0,0,0,,,,,,,,,
Keondre Coburn,IDL,Titans,1665000,832500,0,0,0,,,,,,,,,
Lucas Krull,TE,Broncos,1665000,832500,0,0,0,,,,,,,,,
Otis Reese,LB,Titans,1665000,832500,0,0,0,,,,,,,,,
TK McLendon,IDL,Titans,1665000,832500,0,0,0,,,,,,,,,
Tommy DeVito,QB,Giants,1665000,832500,0,0,0,,,,,,,,,
Travis Vokolek,TE,Cardinals,1665000,832500,0,0,0,,,,,,,,,
Trevor Nowaske,LB,Lions,1665000,832500,0,0,0,,,,,,,,,
Tyler Goodson,RB,Colts,1665000,832500,0,0,0,,,,,,,,,
Tyrus Wheat,EDGE,Cowboys,1665000,832500,0,0,0,,,,,,,,,
Alec Anderson,RG,Bills,1673500,836750,8500,4250,0.01,,,,,,,,,
Ryan Van Demark,LT,Bills,1674000,837000,9000,4500,0.01,,,,,,,,,
Jordan Mason,RB,49ers,2560000,853333,40000,13333,0.02,,,,,,,,,
Kavontae Turpin,WR,Cowboys,2560000,853333,0,0,0,,,,,,,,,
Mike Brown,S,Titans,2560000,853333,0,0,0,,,,,,,,,
Mitchell Fraboni,LS,Broncos,2560000,853333,0,0,0,,,,,,,,,
Jaylon Jones,CB,Bears,2562500,854167,2500,833,0,,,,,,,,,
Dallis Flowers,CB,Colts,2565000,855000,15000,5000,0.01,,,,,,,,,
Jake Hummel,LB,Rams,2565000,855000,5000,1667,0,,,,,,,,,
Ryan Wright,P,Vikings,2565000,855000,20000,6667,0.01,,,,,,,,,
Stone Smartt,TE,Chargers,2565000,855000,5000,1667,0,,,,,,,,,
D'Anthony Bell,S,Browns,2567500,855833,60000,20000,0.02,,,,,,,,,
Jack Sanborn,LB,Bears,2567500,855833,17500,5833,0.01,,,,,,,,,
Jake Hansen,LB,Texans,2567500,855833,22500,7500,0.01,,,,,,,,,
Luke Masterson,LB,Raiders,2570000,856667,70000,23333,0.03,,,,,,,,,
